Game,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusLocalXAI,1,KernelSHAPIQ,,100,0.00032094602696731273,0.00011161868179863506,0.00024201970016039445,0.00039987235377423106,7.89263268069183e-05,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,KernelSHAPIQ,,1000,1.88623855631719e-05,6.787920274811481e-06,1.406260110669905e-05,2.3662170019644754e-05,4.799784456472851e-06,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,KernelSHAPIQ,,10000,6.803431557927797e-07,2.220875741832829e-07,5.233035260705099e-07,8.373827855150494e-07,1.5703962972226974e-07,0.85,0.21213203435596428,0.7,1.0,0.15,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting,100,0.00031496446793001113,0.0003101029444432887,9.56885730482465e-05,0.0005342403628117758,0.00021927589488176461,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting,1000,2.7739531464311456e-05,2.3610039768802142e-05,1.1044712239707397e-05,4.443435068891552e-05,1.669481922460406e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting,10000,1.0026164787658915e-05,9.853210721825658e-06,3.0588926697959946e-06,1.6993436905521833e-05,6.96727211786292e-06,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting_optimal,100,,,,,,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting_optimal,1000,,,,,,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting_optimal,10000,,,,,,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,mean,100,0.00031496446793001113,0.00031010294444328875,9.568857304824644e-05,0.0005342403628117758,0.00021927589488176467,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,PermutationIQ,mean,1000,2.773953146431147e-05,2.3610039768802122e-05,1.1044712239707421e-05,4.443435068891552e-05,1.6694819224604047e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,mean,10000,1.0026164787658903e-05,9.853210721825641e-06,3.0588926697959946e-06,1.699343690552181e-05,6.967272117862907e-06,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationSamplingSII,,100,0.002779591836734577,0.000558630391304685,0.00238458049886614,0.0031746031746030146,0.00039501133786843724,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,PermutationSamplingSII,,1000,0.00028625283446713555,0.00010025363150501937,0.00021536281179135907,0.00035714285714291206,7.089002267577648e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationSamplingSII,,10000,8.861968824989696e-05,0.00010453780752636485,1.4700295657630278e-05,0.00016253908084216365,7.391939259226669e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,SHAPIQ,,100,0.0007068238211077254,0.0005202448199868193,0.0003389551810178707,0.00107469246119758,0.00036786864008985464,0.7,0.0,0.7,0.7,0.0,,,,,
AdultCensusLocalXAI,1,SHAPIQ,,1000,4.631652888688708e-05,2.5765984265280497e-05,2.8097226688961353e-05,6.45358310848128e-05,1.8219302197925724e-05,0.9,0.14142135623730948,0.8,1.0,0.09999999999999998,,,,,
AdultCensusLocalXAI,1,SHAPIQ,,10000,1.1162593432258846e-06,7.98876011878641e-07,5.513686978992327e-07,1.6811499885525365e-06,5.648906453266518e-07,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,SVARMIQ,,100,0.0005397540957907163,0.00017557730039340926,0.0004156021960601091,0.0006639059955213235,0.00012415189973060715,0.7,0.14142135623730953,0.6,0.8,0.1,,,,,
AdultCensusLocalXAI,1,SVARMIQ,,1000,3.309085753552765e-05,5.257731806684756e-07,3.271907975411095e-05,3.346263531694435e-05,3.717777814166988e-07,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,SVARMIQ,,10000,5.426910173516231e-07,1.5261654399634167e-07,4.347748241705548e-07,6.506072105326914e-07,1.0791619318106827e-07,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,2,KernelSHAPIQ,,100,0.3337092593051064,0.46972105619585447,0.0015663152029103484,0.6658522034073024,0.332142944102196,0.25,0.07071067811865474,0.2,0.3,0.04999999999999999,0.008029937744140625,0.0024134971331278357,0.006323337554931641,0.00973653793334961,0.0017066001892089842
AdultCensusLocalXAI,2,KernelSHAPIQ,,1000,3.922574302461579e-05,2.8316051023664807e-05,1.9203271329358126e-05,5.924821471987346e-05,2.0022471695257665e-05,0.9,0.0,0.9,0.9,0.0,0.07287776470184326,0.024764645248031115,0.05536651611328125,0.09038901329040527,0.01751124858856201
AdultCensusLocalXAI,2,KernelSHAPIQ,,10000,6.620021072443155e-07,3.641755905560134e-07,4.0449107761954285e-07,9.195131368690883e-07,2.575110296247727e-07,0.95,0.0707106781186547,0.9,1.0,0.04999999999999999,0.7931163311004639,0.10946008602982502,0.7157163619995117,0.870516300201416,0.07739996910095213
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting,100,0.0006786079583253094,0.00029420788471516294,0.00047057156796466773,0.0008866443486859512,0.00020803639036064172,0.6000000000000001,0.282842712474619,0.4,0.8,0.2,0.013343095779418945,0.001255638910836555,0.012455224990844727,0.014230966567993164,0.0008878707885742186
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting,1000,0.00011232051120162816,4.32433518622932e-05,8.174284385856471e-05,0.0001428981785446916,3.057766734306344e-05,0.8500000000000001,0.0707106781186547,0.8,0.9,0.04999999999999999,0.08876991271972656,0.008516023622717205,0.0827481746673584,0.09479165077209473,0.006021738052368164
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting,10000,7.873587948991194e-06,6.253613760686477e-06,3.451615251888278e-06,1.2295560646094108e-05,4.421972697102915e-06,0.95,0.07071067811865478,0.9,1.0,0.04999999999999999,0.5404262542724609,0.008697086483920004,0.5342764854431152,0.5465760231018066,0.006149768829345702
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting_optimal,100,,,,,,0.0,0.0,0.0,0.0,0.0,0.013343095779418945,0.001255638910836555,0.012455224990844727,0.014230966567993164,0.0008878707885742186
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting_optimal,1000,,,,,,0.0,0.0,0.0,0.0,0.0,0.08876991271972656,0.008516023622717205,0.0827481746673584,0.09479165077209473,0.006021738052368164
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting_optimal,10000,,,,,,0.0,0.0,0.0,0.0,0.0,0.5404262542724609,0.008697086483920004,0.5342764854431152,0.5465760231018066,0.006149768829345702
AdultCensusLocalXAI,2,PermutationIQ,mean,100,0.004637866899466573,0.0006079402296688991,0.004207988240511587,0.005067745558421558,0.0004298786589549855,0.45,0.07071067811865474,0.4,0.5,0.04999999999999999,0.013343095779418945,0.001255638910836555,0.012455224990844727,0.014230966567993164,0.0008878707885742186
AdultCensusLocalXAI,2,PermutationIQ,mean,1000,0.00030036991213033034,0.00010723104313009782,0.00022454611437933099,0.00037619370988132964,7.582379775099933e-05,0.7,0.0,0.7,0.7,0.0,0.08876991271972656,0.008516023622717205,0.0827481746673584,0.09479165077209473,0.006021738052368164
AdultCensusLocalXAI,2,PermutationIQ,mean,10000,2.8098938017791592e-05,9.38036425972258e-06,2.1466018839741827e-05,3.473185719584136e-05,6.632919178049764e-06,0.95,0.07071067811865478,0.9,1.0,0.04999999999999999,0.5404262542724609,0.008697086483920004,0.5342764854431152,0.5465760231018066,0.006149768829345702
AdultCensusLocalXAI,2,PermutationSamplingSII,,100,0.0005120879120878992,7.010631334839943e-05,0.00046251526251525697,0.0005616605616605414,4.957264957264221e-05,0.1,0.0,0.1,0.1,0.0,0.0012695789337158203,0.00012037139934711335,0.0011844635009765625,0.0013546943664550781,8.51154327392578e-05
AdultCensusLocalXAI,2,PermutationSamplingSII,,1000,0.001179136141636131,0.0008322318730833036,0.000590659340659345,0.0017676129426129174,0.0005884768009767861,0.6,0.14142135623730948,0.5,0.7,0.09999999999999998,0.012771844863891602,0.0006406320973655893,0.012318849563598633,0.01322484016418457,0.0004529953002929687
AdultCensusLocalXAI,2,PermutationSamplingSII,,10000,8.969372924981685e-05,9.989166544590217e-05,1.9059655229001497e-05,0.0001603278032706322,7.063407402081534e-05,0.8,0.14142135623730953,0.7,0.9,0.1,0.15553045272827148,0.029896951284899703,0.13439011573791504,0.17667078971862793,0.021140336990356442
AdultCensusLocalXAI,2,SHAPIQ,,100,0.005781060659012724,0.0035057270610076847,0.003302137281185005,0.008259984036840444,0.0024789233778277193,0.2,0.1414213562373095,0.1,0.3,0.09999999999999999,0.016733884811401367,0.0020341754965297896,0.01529550552368164,0.018172264099121094,0.0014383792877197266
AdultCensusLocalXAI,2,SHAPIQ,,1000,0.0002809345431491188,0.00017159133475700802,0.00015960114674958754,0.00040226793954865013,0.0001213333963995313,0.75,0.07071067811865482,0.7,0.8,0.050000000000000044,0.09588050842285156,0.011172623778055876,0.08798027038574219,0.10378074645996094,0.007900238037109373
AdultCensusLocalXAI,2,SHAPIQ,,10000,5.8828996404197925e-06,4.453866599589365e-06,2.7335403653498826e-06,9.032258915489703e-06,3.14935927506991e-06,1.0,0.0,1.0,1.0,0.0,0.874374270439148,0.05226023769217412,0.8374207019805908,0.9113278388977051,0.03695356845855712
AdultCensusLocalXAI,2,SVARMIQ,,100,0.001963486094780352,0.00102662774071314,0.001237550657567866,0.002689421531992838,0.0007259354372124859,0.35,0.07071067811865477,0.3,0.4,0.05,0.3518913984298706,0.00919087896107364,0.34539246559143066,0.35839033126831055,0.006498932838439941
AdultCensusLocalXAI,2,SVARMIQ,,1000,0.0001702362444293693,3.6559683415999234e-05,0.00014438464436788287,0.00019608784449085573,2.5851600061486428e-05,0.75,0.07071067811865482,0.7,0.8,0.050000000000000044,1.0023493766784668,0.049315858855203065,0.9674777984619141,1.0372209548950195,0.034871578216552734
AdultCensusLocalXAI,2,SVARMIQ,,10000,2.8791891595257225e-06,1.1468021888051909e-06,2.0682775551419964e-06,3.6901007639094482e-06,8.109116043837258e-07,0.95,0.0707106781186547,0.9,1.0,0.04999999999999999,7.506068468093872,0.6480775910361298,7.047808408737183,7.9643285274505615,0.45826005935668945
