Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,16,1.2914057801716216e+45,9.13161784422855e+45,0.0006187227208714033,6.45702890085809e+46,1.291405780171618e+45,0.644,0.09930369826847298,0.4,0.8,0.014043663688508009,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,50,0.006480919747599583,0.007918959701664343,0.00036536972107575135,0.05577916829313264,0.0011199100209979712,0.71,0.11994896874104763,0.4,1.0,0.016963345838625597,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,100,0.0025180835693278053,0.0021470108864554477,0.000251256604529444,0.009170172411086856,0.00030363319141879757,0.74,0.10301575072754257,0.5,0.9,0.014568627181693673,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,250,0.001369948756221607,0.0011470126781324473,6.205507754758565e-05,0.005546163661448515,0.0001622120885628792,0.782,0.1119219844902909,0.5,1.0,0.01582815883938805,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,500,0.0012889296372308604,0.001333176305516577,4.6153095397446734e-05,0.007127597629733642,0.0001885396012296,0.7979999999999999,0.09997958975384398,0.6,0.9,0.014139249179038428,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,750,0.0011602443171380877,0.0012202065459221356,2.9199728842100523e-05,0.006483367281750859,0.00017256326461395128,0.82,0.10497813183356479,0.5,1.0,0.014846149779161807,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,1000,0.001114783307892814,0.0011412589177121648,2.5678552536384265e-05,0.005694805843801505,0.00016139838396077834,0.818,0.10239977678547103,0.5,1.0,0.014481515311399072,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,2000,0.000182590528399994,0.0001359732629612669,1.1749593447247898e-05,0.0005994031350084524,1.9229523259994685e-05,0.8760000000000001,0.0846601850858803,0.7,1.0,0.011972758194146838,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,3500,4.796127060261346e-05,3.58722194570452e-05,5.6821936396292395e-06,0.0001351826265843463,5.0730979268577344e-06,0.924,0.0846601850858803,0.5,1.0,0.011972758194146834,,,,,
ImageClassifierLocalXAI,16,1,KernelSHAPIQ,,5000,3.08073628858024e-05,2.6760467796927176e-05,2.6696734187621843e-06,0.00012546342574687471,3.7845016493862867e-06,0.9359999999999999,0.05627918743883488,0.8,1.0,0.00795907901553378,,,,,
