Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,16,2.1806638197401503e+32,1.5419621744264194e+33,0.3577007190054905,1.0903319098700752e+34,2.1806638197401503e+32,0.75,0.09091372900969899,0.6,0.9,0.012857142857142862,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,50,0.2221291324500472,0.10434164934818622,0.06478850540773776,0.5323388570799494,0.014756137562858275,0.8059999999999999,0.08429781995389678,0.6,1.0,0.01192151202572861,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,100,0.06771410016654808,0.024351597333286856,0.030848165728301506,0.12636711176290694,0.0034438359214182764,0.872,0.06074369035848369,0.8,1.0,0.008590455073355945,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,250,0.01996826055988025,0.008069429784259827,0.005414557973435756,0.03635010545246763,0.0011411897041517646,0.946,0.057887998826728015,0.8,1.0,0.008186599303939656,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,500,0.007610535104593741,0.003204907975840508,0.002459103120220089,0.01941338988979846,0.00045324243255913496,0.986,0.035050983275386555,0.9,1.0,0.004956957592256419,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,750,0.004810550554434286,0.0012763142782075791,0.0025678946125330467,0.007844985311104629,0.00018049809620915855,0.996,0.019794866372215735,0.9,1.0,0.00279941684889506,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,1000,0.08339687588727433,0.024416142068047417,0.026550767340272008,0.1398727968312599,0.0034529639253460935,0.872,0.07295511619887832,0.7,1.0,0.010317411477295877,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,2000,0.0051771415638704535,0.0018550922250648305,0.00223662642895031,0.012148752581585062,0.0002623496584139565,0.978,0.04184519575964803,0.9,1.0,0.005917804336345135,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,3500,0.002007921642714166,0.0008311479447937323,0.0007232151197816211,0.003874027711261221,0.00011754206958658206,0.988,0.032826072265931594,0.9,1.0,0.004642307659791976,,,,,
AdultCensusUnsupervisedData,14,1,KernelSHAPIQ,,5000,0.0010898288361588856,0.0004413245350289815,0.00035439857832360696,0.002196863156599548,6.241271428459859e-05,1.0,0.0,1.0,1.0,0.0,,,,,
AdultCensusUnsupervisedData,14,1,PermutationIQ,inverse_variance_weighting,16,,,,,,0.8,0.0,0.8,0.8,3.172065784643304e-17,,,,,
AdultCensusUnsupervisedData,14,1,PermutationIQ,inverse_variance_weighting,50,0.08352547138739219,0.04018836258845861,0.02397575403154361,0.19399601965194954,0.005683492742216565,0.894,0.05858884758402821,0.8,1.0,0.008285714285714283,,,,,
AdultCensusUnsupervisedData,14,1,PermutationIQ,inverse_variance_weighting,100,0.03455531404055005,0.01836410619140391,0.00460640820305656,0.10171208306042082,0.0025970768036743135,0.958,0.049856938190328944,0.9,1.0,0.007050835816716035,,,,,
AdultCensusUnsupervisedData,14,1,PermutationIQ,inverse_variance_weighting,250,0.015612712531406125,0.010785354983543554,0.0026422500216568318,0.05466599008714119,0.0015252795292735543,0.99,0.030304576336566306,0.9,1.0,0.004285714285714284,,,,,
AdultCensusUnsupervisedData,14,1,PermutationIQ,inverse_variance_weighting,500,0.006982574744129285,0.0037933445918672507,0.001552915513019677,0.018871630781890802,0.0005364599368573299,0.998,0.01414213562373094,0.9,1.0,0.0019999999999999996,,,,,
