Game,n,k,Approximator,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se,Iterations
SOUM,15,1,KernelSHAPIQ,10000,0.0011734589193214623,0.0015989861783445626,0.00011172376137384949,0.005011151639553119,0.0005056438270697022,0.97,0.04830458915396478,0.9,1.0,0.015275252316519461,0.7355317115783692,0.006056441584674368,0.7204768657684326,0.739997386932373,0.0019152149923330596,10
SOUM,15,1,PermutationIQ,10000,0.004005784675164907,0.0039019961686505493,0.000819383543959784,0.012096170623913374,0.001233919531418624,0.97,0.04830458915396477,0.9,1.0,0.015275252316519461,0.21720800399780274,0.002130767474158129,0.21196222305297852,0.2195875644683838,0.0006738078382543669,10
SOUM,15,1,PermutationIQStratified,10000,0.0010849768124847727,0.0006214554217330861,0.0004719961718888173,0.0025076340191291678,0.00019652145969370567,0.97,0.04830458915396477,0.9,1.0,0.015275252316519461,0.21011877059936523,0.0007452100344474202,0.20897293090820312,0.21117067337036133,0.0002356561044066387,10
SOUM,15,1,PermutationSamplingSII,10000,0.0079852258456467,0.006528798931767381,0.0018624841977619671,0.020453137809745274,0.0020645875009659164,0.96,0.05163977794943221,0.9,1.0,0.01632993161855452,0.4828747034072876,0.0015103060733024443,0.480743408203125,0.4859504699707031,0.00047760071556209515,10
SOUM,15,1,SHAPIQ,10000,0.0003538150732928937,0.0002799764961232305,9.230694229817427e-05,0.001031219284955346,8.853634190627106e-05,0.9800000000000001,0.04216370213557838,0.9,1.0,0.013333333333333329,0.7583442211151123,0.00744268566849094,0.7461283206939697,0.7697858810424805,0.0023535838621124294,10
SOUM,15,1,SVARMIQ,10000,0.00022464316239123139,0.00013623445510034562,9.331636289933665e-05,0.0005149930861262625,4.3081117390903506e-05,0.99,0.031622776601683784,0.9,1.0,0.009999999999999997,1.2914584398269653,0.009498469069919734,1.273592233657837,1.3057100772857666,0.0030036796545607524,10
SOUM,15,2,KernelSHAPIQ,10000,0.011199045275568458,0.012660418829880508,0.0008701931814390178,0.03380958768665492,0.004003575963410622,0.78,0.13165611772087668,0.6,1.0,0.04163331998932267,0.8001539707183838,0.006155326951951551,0.7898304462432861,0.8081836700439453,0.0019464852911188725,10
SOUM,15,2,PermutationIQ,10000,0.013347859604548235,0.0017491690870677801,0.009011595728083523,0.014759172235424676,0.0005531358327891558,0.77,0.11595018087284063,0.6,0.9,0.036666666666666674,0.4215993404388428,0.00330790722955922,0.4151036739349365,0.427264928817749,0.0010460521133944603,10
SOUM,15,2,PermutationIQStratified,10000,0.011109851353344295,0.0013862504823303925,0.008234754825602472,0.012990416449374736,0.0004383708931671043,0.8099999999999999,0.0737864787372622,0.7,0.9,0.02333333333333334,0.4139558792114258,0.0026415969353854726,0.40783023834228516,0.4181389808654785,0.0008353462975938744,10
SOUM,15,2,PermutationSamplingSII,10000,0.0994638205557717,0.06836076052574605,0.0477585617168322,0.2714781693807397,0.021617570584268716,0.5599999999999999,0.15055453054181617,0.2,0.7,0.04760952285695232,0.33018538951873777,0.0012348553828561784,0.32830095291137695,0.33284807205200195,0.00039049555907447707,10
