Game,k,Group,Approximator,Variant,Budget,ErrorSquared_mean,ErrorSquared_std,ErrorSquared_min,ErrorSquared_max,ErrorSquared_se,Error_mean,Error_std,Error_min,Error_max,Error_se
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,inverse_variance_weighting,100,0.00394688210617688,0.001877788340412978,0.0026190852370378305,0.00527467897531593,0.0013277968691390498,-0.06190199213725303,0.015167430607478879,-0.07262698517297775,-0.05117699910152832,0.010724993035724713
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,inverse_variance_weighting,1000,0.0011900979773567081,7.084825381146037e-05,0.0011400006966513988,0.0012401952580620174,5.009728070530929e-05,-0.03449015122057182,0.0010270794894225133,-0.0352164060923601,-0.033763896348783545,0.0007262548717882761
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,inverse_variance_weighting,10000,0.0011018196060085805,3.583323704018078e-05,0.0010764816811056038,0.0011271575309115575,2.5337924902976857e-05,-0.03319147354739685,0.0005397958151663772,-0.03357316682875712,-0.032809780266036585,0.0003816932813602673
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,inverse_variance_weighting_optimal,100,0.0038063979965445374,0.002217060679039723,0.0022386993560934974,0.005374096636995578,0.0015676986404510403,-0.06031156303005844,0.018380063189000526,-0.07330823034963795,-0.04731489571047893,0.012996667319579509
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,inverse_variance_weighting_optimal,1000,0.0012422129254131237,3.6535654198435544e-05,0.0012163783165743231,0.0012680475342519242,2.5834608838800526e-05,-0.03524313534152822,0.0005183371718262588,-0.03560965507066762,-0.03487661561238881,0.0003665197291394043
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,inverse_variance_weighting_optimal,10000,0.0011043385446747136,3.9637184417551034e-05,0.0010763108227859215,0.0011323662665635055,2.8027721888792034e-05,-0.03322891335283469,0.0005964261304104572,-0.03365065031412477,-0.0328071763915446,0.0004217369612900846
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,mean,100,0.00420054248551284,0.0015255808761390753,0.0031217939027463853,0.005279291068279295,0.0010787485827664547,-0.06426587301587391,0.011869292398488466,-0.07265873015873106,-0.05587301587301678,0.00839285714285714
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,mean,1000,0.0006639111561528108,0.0004383253584767101,0.0003539683228079047,0.0009738539894977168,0.00030994283334490606,-0.025010339816678766,0.00876288290542142,-0.03120663374184593,-0.018814045891511606,0.006196293925167161
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,mean,10000,0.0009450823567381652,8.25229798187642e-05,0.0008867297981045965,0.001003434915371734,5.835255863356877e-05,-0.030727524728194098,0.001342818540522484,-0.03167704082410057,-0.029778008632287627,0.0009495160959064711
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,player_0,100,0.004687909423028595,0.0006983458902909039,0.00419410430839014,0.00518171453766705,0.0004938051146384549,-0.06837301587301678,0.005106882308569509,-0.0719841269841279,-0.06476190476190567,0.003611111111111113
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,player_0,1000,0.0003569398447395889,0.0004983690303922221,4.539723815884083e-06,0.0007093399656632937,0.0003524001209237048,-0.014382049875008547,0.01732607780961147,-0.026633436985550582,-0.002130662764466513,0.012251387110542035
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,player_0,10000,0.0007968937856427759,0.0001888670871376829,0.0006633445875847698,0.000930442983700782,0.00013354919805800614,-0.028129320174775645,0.0033571214299563004,-0.030503163503164423,-0.025755476846386863,0.00237384332838878
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,player_1,100,0.0037926429831192827,0.002241719124795721,0.002207508188460656,0.00537777777777791,0.001585134794658627,-0.06015873015873107,0.01863170248840743,-0.07333333333333424,-0.046984126984127905,0.013174603174603164
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,player_1,1000,0.0012701318687015962,1.4233213486139012e-05,0.0012600674669274714,0.0012801962704757208,1.0064401774124662e-05,-0.035638629758348986,0.0001996880012313649,-0.03577983049814128,-0.0354974290185567,0.0001412007397922875
AdultCensusLocalXAI,2,"(0, 1)",PermutationIQ,player_1,10000,0.0011108296777667447,4.4755411257317996e-05,0.0010791828229719024,0.001142476532561587,3.16468547948423e-05,-0.03332572928161255,0.0006714843489113362,-0.03380054041818839,-0.03285091814503671,0.0004748111365758395
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,inverse_variance_weighting,100,0.0021556122448979837,0.0,0.0021556122448979837,0.0021556122448979837,0.0,0.046428571428571694,0.0,0.046428571428571694,0.046428571428571694,0.0
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,inverse_variance_weighting,1000,0.0021556122448979837,0.0,0.0021556122448979837,0.0021556122448979837,0.0,0.046428571428571694,0.0,0.046428571428571694,0.046428571428571694,0.0
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,inverse_variance_weighting,10000,0.0021556122448979837,0.0,0.0021556122448979837,0.0021556122448979837,0.0,0.046428571428571694,0.0,0.046428571428571694,0.046428571428571694,0.0
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,inverse_variance_weighting_optimal,100,0.0021556122448979837,0.0,0.0021556122448979837,0.0021556122448979837,0.0,0.046428571428571694,0.0,0.046428571428571694,0.046428571428571694,0.0
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,inverse_variance_weighting_optimal,1000,0.0021556122448979837,0.0,0.0021556122448979837,0.0021556122448979837,0.0,0.046428571428571694,0.0,0.046428571428571694,0.046428571428571694,0.0
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,inverse_variance_weighting_optimal,10000,0.0021556122448979837,0.0,0.0021556122448979837,0.0021556122448979837,0.0,0.046428571428571694,0.0,0.046428571428571694,0.046428571428571694,0.0
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,mean,100,0.0006095529415470024,0.00012574684414553246,0.0005206364953388886,0.0006984693877551164,8.891644620811387e-05,0.024623015873016144,0.0025534411542847565,0.022817460317460587,0.0264285714285717,0.0018055555555555566
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,mean,1000,0.0015500719453088428,0.0005797584716372469,0.0011401207985637968,0.001960023092053889,0.00040995114674504594,0.03901891144848918,0.007429198433721239,0.03376567485722441,0.04427214803975394,0.005253236591264763
AdultCensusLocalXAI,2,"(0, 2)",PermutationIQ,mean,10000,0.0017030476731858793,0.0004425371305273702,0.0013901266672631395,0.002015968679108619,0.00031292100592273975,0.04109197116015324,0.005384715286626319,0.0372844024662209,0.044899539854085575,0.0038075686939323355
