"","Facetvar","Approximator","n","Runtime_mean","Runtime_ribbon_min","Runtime_ribbon_max"
"1","k=3, Budget=10000","KernelSHAPIQ",15,2.03682336012522,2.03076455607623,2.04288216417421
"2","k=3, Budget=10000","PermutationIQ",15,1.84297627607981,1.83924994501226,1.84670260714736
"3","k=3, Budget=10000","PermutationIQStratified",15,2.0117014169693,1.9964745661132,2.0269282678254
"4","k=3, Budget=10000","PermutationSamplingSII",15,0.279102643330892,0.278640919694066,0.279564366967718
"5","k=3, Budget=10000","SHAPIQ",15,1.78188028335571,1.77546610703173,1.7882944596797
"6","k=3, Budget=10000","SVARMIQ",15,70.070482579867,69.9496274291946,70.1913377305395
"7","k=3, Budget=10000","KernelSHAPIQ",30,39.379780848821,38.8968702309494,39.8626914666926
"8","k=3, Budget=10000","PermutationIQ",30,7.47196599642436,7.39837222902041,7.54555976382831
"9","k=3, Budget=10000","PermutationIQStratified",30,9.16167799631754,9.0378047680946,9.28555122454049
"10","k=3, Budget=10000","PermutationSamplingSII",30,0.351709977785746,0.349925692140096,0.353494263431396
"11","k=3, Budget=10000","SHAPIQ",30,11.5405174732208,11.3265477107759,11.7544872356657
"12","k=3, Budget=10000","SVARMIQ",30,1282.61793582439,1274.92953898726,1290.30633266153
"13","k=3, Budget=10000","KernelSHAPIQ",50,696.113655630748,685.936287651773,706.291023609722
"14","k=3, Budget=10000","PermutationIQ",50,22.4129848241806,22.0741209766644,22.7518486716969
"15","k=3, Budget=10000","PermutationIQStratified",50,35.3516954819361,34.2315751883628,36.4718157755095
"16","k=3, Budget=10000","PermutationSamplingSII",50,0.534418829282125,0.529371239008268,0.539466419555981
"17","k=3, Budget=10000","SHAPIQ",50,94.0548147678375,91.6780057618983,96.4316237737767
"18","k=3, Budget=10000","PermutationIQ",70,42.2488552093506,41.9817716996972,42.515938719004
"19","k=3, Budget=10000","PermutationIQStratified",70,73.8031390666962,72.7129441166106,74.8933340167818
"20","k=3, Budget=10000","PermutationSamplingSII",70,0.681592631340027,0.67447671148988,0.688708551190174
"21","k=3, Budget=10000","SHAPIQ",70,307.439268716176,297.67589497263,317.202642459722
"22","k=3, Budget=10000","PermutationIQ",85,64.6192309856415,64.5086883338119,64.729773637471
"23","k=3, Budget=10000","PermutationIQStratified",85,111.527988020579,110.697309428841,112.358666612317
"24","k=3, Budget=10000","PermutationSamplingSII",85,0.754733236630758,0.752143358581253,0.757323114680262
"25","k=3, Budget=10000","SHAPIQ",85,480.659322770437,477.531685008992,483.786960531881
"26","k=3, Budget=10000","PermutationIQ",100,96.0713876247406,95.7009614308206,96.4418138186606
"27","k=3, Budget=10000","PermutationIQStratified",100,178.559930165609,176.572273226047,180.54758710517
"28","k=3, Budget=10000","PermutationSamplingSII",100,0.880076289176941,0.876293552522587,0.883859025831294
"29","k=3, Budget=10000","SHAPIQ",100,908.766179211934,886.048486445251,931.483871978617
