"","Facetvar","Approximator","Runtime_mean","RuntimeWithCostPerBudget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=4","KernelSHAPIQ",0.946390986442566,2500.94639098644,0.00061736618564979,0.00054883982350397,0.00068589254779561
"2","k=4","KernelSHAPIQ",1.72475596427917,5001.72475596428,0.00178915617171054,0.00159852723166431,0.00197978511175677
"3","k=4","KernelSHAPIQ",3.91852643966675,12503.9185264397,0.00218408697021091,0.00194004107914112,0.0024281328612807
"4","k=4","KernelSHAPIQ",7.49158908367157,25007.4915890837,0.00144233802119237,0.00125650020456467,0.00162817583782007
"5","k=4","KernelSHAPIQ",10.9573754262924,37510.9573754263,0.00104054312065286,0.00090990303563191,0.00117118320567381
"6","k=4","KernelSHAPIQ",14.2109477996826,50014.2109477997,0.00100144320099594,0.00087149364974487,0.00113139275224701
"7","k=4","KernelSHAPIQ",19.6449612808228,100019.644961281,1578.94447058628,41.1717290379229,3116.71721213463
"8","k=4","KernelSHAPIQ",20.3450973033905,175020.345097303,0.0248856533677555,0.020971006036262,0.028800300699249
"9","k=4","KernelSHAPIQ",21.0091574573517,250021.009157457,0.00914295157583226,0.00772946544886509,0.0105564377027994
"10","k=4","PermutationIQ",0.138912153244019,2500.13891215324,0.0128439974310564,0.0109814727803111,0.0147065220818017
"11","k=4","PermutationIQ",0.111410894393921,5000.11141089439,0.0113929644911252,0.0100516220474562,0.0127343069347942
"12","k=4","PermutationIQ",0.298218007087708,12500.2982180071,0.0099533864400921,0.00902725031710731,0.0108795225630769
"13","k=4","PermutationIQ",0.488940291404724,25000.4889402914,0.00740980659404876,0.00673687946552895,0.00808273372256857
"14","k=4","PermutationIQ",0.685994381904602,37500.6859943819,0.00593228844529687,0.00540170809109036,0.00646286879950338
"15","k=4","PermutationIQ",0.975132060050964,50000.97513206,0.00466698686129828,0.00422127039177657,0.00511270333081999
"16","k=4","PermutationIQ",1.81782469272614,100001.817824693,0.0030536399870969,0.00277740062069783,0.00332987935349597
"17","k=4","PermutationIQ",3.17421067714691,175003.174210677,0.00208122891289182,0.00188911677801156,0.00227334104777208
"18","k=4","PermutationIQ",4.58512674808502,250004.585126748,0.00162795625593097,0.00147090313961326,0.00178500937224868
"19","k=4","PermutationIQStratified",0.379653987884521,5000.37965398788,1.49117326435778,0.863786647936525,2.11855988077904
"20","k=4","PermutationIQStratified",0.543488373756409,12500.5434883738,0.229580077537352,0.196137303336178,0.263022851738527
"21","k=4","PermutationIQStratified",0.815042772293091,25000.8150427723,0.0655103978170025,0.0534866390670331,0.0775341565669718
"22","k=4","PermutationIQStratified",1.07889491081238,37501.0788949108,0.0270381409668403,0.021559616605956,0.0325166653277246
"23","k=4","PermutationIQStratified",1.35020221710205,50001.3502022171,0.0105612011155312,0.00937337369100742,0.011749028540055
"24","k=4","PermutationIQStratified",2.34998565196991,100002.349985652,0.00350339196752423,0.00319024406944924,0.00381653986559922
"25","k=4","PermutationIQStratified",3.89167844295502,175003.891678443,0.00221930175331671,0.0020153643464981,0.00242323916013532
"26","k=4","PermutationIQStratified",5.42959450721741,250005.429594507,0.00170259563305333,0.00153703566606336,0.0018681556000433
"27","k=4","PermutationSamplingSII",0.00012018680572509,2500.00012018681,0.00059219794127494,0.000524964781851615,0.000659431100698265
"28","k=4","PermutationSamplingSII",0.00012032508850097,5000.00012032509,0.00059219794127494,0.000524964781851615,0.000659431100698265
"29","k=4","PermutationSamplingSII",0.00011981964111328,12500.0001198196,0.00059219794127494,0.000524964781851615,0.000659431100698265
"30","k=4","PermutationSamplingSII",0.00426454067230224,25000.0042645407,0.00065011353823461,0.000578592600077909,0.000721634476391311
"31","k=4","PermutationSamplingSII",0.00403557300567626,37500.004035573,0.00066158132242093,0.000590286054835558,0.000732876590006302
