"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"89","k=2","SVARMIQ",11,0.196,0.175603921945629,0.216396078054371
"90","k=2","SVARMIQ",50,0.358,0.339463769619076,0.376536230380924
"91","k=2","SVARMIQ",100,0.492,0.46864121893032,0.51535878106968
"92","k=2","SVARMIQ",200,0.568,0.542695325913732,0.593304674086268
"93","k=2","SVARMIQ",350,0.938,0.927742101102276,0.948257898897723
"94","k=2","SVARMIQ",500,0.826,0.807747798567218,0.844252201432782
"95","k=2","SVARMIQ",750,0.898,0.883574965072726,0.912425034927274
"96","k=2","SVARMIQ",1000,0.958,0.948065520771021,0.967934479228979
"97","k=3","KernelSHAPIQ",11,0.078,0.0607882337350525,0.0952117662649475
"98","k=3","KernelSHAPIQ",50,0.112,0.0924875759097556,0.131512424090244
"99","k=3","KernelSHAPIQ",100,0.102,0.0862234997802531,0.117776500219747
"100","k=3","KernelSHAPIQ",200,0.102,0.0884503934841379,0.115549606515862
"101","k=3","KernelSHAPIQ",350,0.302,0.277340688723059,0.326659311276941
"102","k=3","KernelSHAPIQ",500,0.3,0.276095427813312,0.323904572186688
"103","k=3","KernelSHAPIQ",750,0.43,0.401969404470931,0.458030595529069
"104","k=3","KernelSHAPIQ",1000,0.624,0.592240701184937,0.655759298815063
"105","k=3","PermutationIQ",11,0.112,0.0981082905358363,0.125891709464164
"106","k=3","PermutationIQ",50,0.132,0.114752699116815,0.149247300883185
"107","k=3","PermutationIQ",100,0.18,0.162857142857143,0.197142857142857
"108","k=3","PermutationIQ",200,0.234,0.212693682071426,0.255306317928574
"109","k=3","PermutationIQ",350,0.324,0.299662240641089,0.348337759358911
"110","k=3","PermutationIQ",500,0.422,0.393818373332388,0.450181626667612
"111","k=3","PermutationIQ",750,0.496,0.471932068927254,0.520067931072746
"112","k=3","PermutationIQ",1000,0.548,0.522889631379749,0.573110368620251
"113","k=3","PermutationIQStratified",11,0.112,0.0981082905358363,0.125891709464164
"114","k=3","PermutationIQStratified",50,0.074,0.0597686749652431,0.0882313250347569
"115","k=3","PermutationIQStratified",100,0.09,0.075361498905772,0.104638501094228
"116","k=3","PermutationIQStratified",200,0.152,0.130957768411975,0.173042231588025
"117","k=3","PermutationIQStratified",350,0.28,0.256266788963091,0.303733211036909
"118","k=3","PermutationIQStratified",500,0.392,0.367615327664741,0.416384672335259
"119","k=3","PermutationIQStratified",750,0.496,0.470611588695402,0.521388411304598
"120","k=3","PermutationIQStratified",1000,0.578,0.556374240605524,0.599625759394476
"121","k=3","PermutationSamplingSII",11,0.034,0.0272327318386703,0.0407672681613297
"122","k=3","PermutationSamplingSII",50,0.034,0.0272327318386703,0.0407672681613297
"123","k=3","PermutationSamplingSII",100,0.034,0.0272327318386703,0.0407672681613297
"124","k=3","PermutationSamplingSII",200,0.034,0.0272327318386703,0.0407672681613297
"125","k=3","PermutationSamplingSII",350,0.064,0.0530232155929723,0.0749767844070277
"126","k=3","PermutationSamplingSII",500,0.128,0.113702861710632,0.142297138289368
"127","k=3","PermutationSamplingSII",750,0.138,0.120883353370571,0.155116646629429
"128","k=3","PermutationSamplingSII",1000,0.124,0.109275315740886,0.138724684259114
"129","k=3","SHAPIQ",11,0.084,0.0714285714285714,0.0965714285714286
"130","k=3","SHAPIQ",50,0.106,0.0913169541056805,0.12068304589432
"131","k=3","SHAPIQ",100,0.118,0.105003925239378,0.130996074760622
"132","k=3","SHAPIQ",200,0.142,0.129516541557169,0.154483458442831
"133","k=3","SHAPIQ",350,0.316,0.295926665062571,0.336073334937429
"134","k=3","SHAPIQ",500,0.15,0.13564303482697,0.16435696517303
"135","k=3","SHAPIQ",750,0.254,0.237046281486689,0.270953718513311
"136","k=3","SHAPIQ",1000,0.538,0.511831004479908,0.564168995520092
"137","k=3","SVARMIQ",11,0.134,0.119261462426824,0.148738537573176
"138","k=3","SVARMIQ",50,0.148,0.129875712540396,0.166124287459604
"139","k=3","SVARMIQ",100,0.188,0.169563124794398,0.206436875205602
"140","k=3","SVARMIQ",200,0.278,0.259864455917076,0.296135544082924
"141","k=3","SVARMIQ",350,0.778,0.757738444969724,0.798261555030276
"142","k=3","SVARMIQ",500,0.352,0.32672760641429,0.37727239358571
"143","k=3","SVARMIQ",750,0.74,0.717142857142857,0.762857142857143
"144","k=3","SVARMIQ",1000,0.84,0.822157148576005,0.857842851423995
"145","k=4","KernelSHAPIQ",11,0.048,0.0351460321380549,0.0608539678619451
"146","k=4","KernelSHAPIQ",50,0.09,0.076522884097062,0.103477115902938
"147","k=4","KernelSHAPIQ",100,0.048,0.0368461592594611,0.0591538407405389
"148","k=4","KernelSHAPIQ",200,0.144,0.125893737693994,0.162106262306006
"149","k=4","KernelSHAPIQ",350,0.524,0.493957852735783,0.554042147264217
"150","k=4","KernelSHAPIQ",500,0.058,0.0472752432119295,0.0687247567880706
"151","k=4","KernelSHAPIQ",750,0.128,0.111827460916474,0.144172539083526
"152","k=4","KernelSHAPIQ",1000,0.458,0.425412284773653,0.490587715226347
"153","k=4","PermutationIQ",11,0.064,0.0473990410899041,0.0806009589100959
"154","k=4","PermutationIQ",50,0.06,0.0460029157555247,0.0739970842444753
"155","k=4","PermutationIQ",100,0.06,0.0462976242191065,0.0737023757808935
"156","k=4","PermutationIQ",200,0.078,0.0639186039653125,0.0920813960346876
"157","k=4","PermutationIQ",350,0.104,0.0878476639713113,0.120152336028689
"158","k=4","PermutationIQ",500,0.204,0.182248152787801,0.225751847212199
"159","k=4","PermutationIQ",750,0.218,0.198269158090721,0.237730841909279
"160","k=4","PermutationIQ",1000,0.318,0.294493162089055,0.341506837910945
"161","k=4","PermutationIQStratified",11,0.064,0.0473990410899041,0.0806009589100959
"162","k=4","PermutationIQStratified",50,0.022,0.0137736114006354,0.0302263885993646
"163","k=4","PermutationIQStratified",100,0.022,0.0137736114006354,0.0302263885993646
"164","k=4","PermutationIQStratified",200,0.038,0.0285714285714286,0.0474285714285714
"165","k=4","PermutationIQStratified",350,0.064,0.0506721099546393,0.0773278900453607
"166","k=4","PermutationIQStratified",500,0.13,0.109746504458917,0.150253495541083
"167","k=4","PermutationIQStratified",750,0.188,0.168697890566795,0.207302109433205
"168","k=4","PermutationIQStratified",1000,0.31,0.28588293854838,0.33411706145162
"169","k=4","PermutationSamplingSII",11,0.026,0.0180153207928674,0.0339846792071326
"170","k=4","PermutationSamplingSII",50,0.026,0.0180153207928674,0.0339846792071326
"171","k=4","PermutationSamplingSII",100,0.026,0.0180153207928674,0.0339846792071326
"172","k=4","PermutationSamplingSII",200,0.026,0.0180153207928674,0.0339846792071326
"173","k=4","PermutationSamplingSII",350,0.042,0.0312752432119295,0.0527247567880705
"174","k=4","PermutationSamplingSII",500,0.062,0.0495821063930853,0.0744178936069147
"175","k=4","PermutationSamplingSII",750,0.094,0.0810921634307697,0.10690783656923
"176","k=4","PermutationSamplingSII",1000,0.07,0.0562233560557244,0.0837766439442757
"177","k=4","SHAPIQ",11,0.044,0.0325144278615761,0.0554855721384239
