"","Facetvar","Approximator","k","Runtime_mean","Runtime_ribbon_min","Runtime_ribbon_max"
"1","n=14, Budget=10000","KernelSHAPIQ",1,0.545343414942424,0.54323682792625,0.547450001958597
"2","n=14, Budget=10000","PermutationIQ",1,0.0634279568990072,0.063204128961789,0.0636517848362254
"3","n=14, Budget=10000","PermutationIQStratified",1,0.0573815027872721,0.0572580094628527,0.0575049961116915
"4","n=14, Budget=10000","PermutationSamplingSII",1,0.121239177385966,0.121003170018993,0.121475184752939
"5","n=14, Budget=10000","SHAPIQ",1,0.563542556762695,0.56192913699704,0.56515597652835
"6","n=14, Budget=10000","SVARMIQ",1,1.01230731010437,1.01068779172887,1.01392682847987
"7","n=14, Budget=10000","KernelSHAPIQ",2,0.601756199200948,0.599449645851618,0.604062752550278
"8","n=14, Budget=10000","PermutationIQ",2,0.255635889371236,0.25523015791047,0.256041620832002
"9","n=14, Budget=10000","PermutationIQStratified",2,0.24537136554718,0.245049483938639,0.245693247155721
"10","n=14, Budget=10000","PermutationSamplingSII",2,0.105935422579447,0.10566862510197,0.106202220056924
"11","n=14, Budget=10000","SHAPIQ",2,0.727899352709452,0.725414967091178,0.730383738327727
"12","n=14, Budget=10000","SVARMIQ",2,6.74750837484996,6.74101182779025,6.75400492190966
"13","n=14, Budget=10000","KernelSHAPIQ",3,1.47167051633199,1.46657607540763,1.47676495725635
"14","n=14, Budget=10000","PermutationIQ",3,1.46705631415049,1.46564894570414,1.46846368259684
"15","n=14, Budget=10000","PermutationIQStratified",3,1.55568556785584,1.5406504242075,1.57072071150417
"16","n=14, Budget=10000","PermutationSamplingSII",3,0.0950699885686239,0.0946360617758615,0.0955039153613862
"17","n=14, Budget=10000","SHAPIQ",3,1.35053505897522,1.34533221207845,1.35573790587199
"18","n=14, Budget=10000","SVARMIQ",3,51.6995280901591,51.6446351509112,51.754421029407
"19","n=14, Budget=10000","KernelSHAPIQ",4,9.65015485286713,9.62220958430352,9.67810012143074
"20","n=14, Budget=10000","PermutationIQ",4,6.17878138224284,6.16303318144725,6.19452958303843
"21","n=14, Budget=10000","PermutationIQStratified",4,7.06185321807861,7.02953311766621,7.09417331849102
"22","n=14, Budget=10000","PermutationSamplingSII",4,0.0880484342575073,0.0878606743406676,0.0882361941743471
"23","n=14, Budget=10000","SHAPIQ",4,3.07828288078308,3.06773676609805,3.08882899546811
"24","n=14, Budget=10000","SVARMIQ",4,296.196772964795,296.015641150424,296.377904779167
"25","n=14, Budget=10000","KernelSHAPIQ",5,61.2225144147873,60.4042429264676,62.040785903107
"26","n=14, Budget=10000","PermutationIQ",5,20.0425818999608,19.8341205258166,20.2510432741051
"27","n=14, Budget=10000","PermutationIQStratified",5,23.1736632823944,22.7715479868985,23.5757785778903
"28","n=14, Budget=10000","PermutationSamplingSII",5,0.0832401116689046,0.0822861347767319,0.0841940885610773
"29","n=14, Budget=10000","SHAPIQ",5,7.34852306048075,7.18519338161207,7.51185273934944
"30","n=14, Budget=10000","SVARMIQ",5,1302.09744531314,1293.66633460181,1310.52855602446
