"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",16,0.644,0.629956336311492,0.658043663688508
"2","k=1","KernelSHAPIQ",50,0.71,0.693036654161374,0.726963345838626
"3","k=1","KernelSHAPIQ",100,0.74,0.725431372818306,0.754568627181694
"4","k=1","KernelSHAPIQ",250,0.782,0.766171841160612,0.797828158839388
"5","k=1","KernelSHAPIQ",500,0.798,0.783860750820962,0.812139249179038
"6","k=1","KernelSHAPIQ",750,0.82,0.805153850220838,0.834846149779162
"7","k=1","KernelSHAPIQ",1000,0.818,0.803518484688601,0.832481515311399
"8","k=1","KernelSHAPIQ",2000,0.876,0.864027241805853,0.887972758194147
"9","k=1","KernelSHAPIQ",3500,0.924,0.912027241805853,0.935972758194147
"10","k=1","KernelSHAPIQ",5000,0.936,0.928040920984466,0.943959079015534
"11","k=1","PermutationIQ",16,0.614,0.6,0.628
"12","k=1","PermutationIQ",50,0.72,0.705153850220838,0.734846149779162
"13","k=1","PermutationIQ",100,0.78,0.768219698212521,0.791780301787479
"14","k=1","PermutationIQ",250,0.818,0.807428571428571,0.828571428571429
"15","k=1","PermutationIQ",500,0.858,0.84618855622366,0.86981144377634
"16","k=1","PermutationIQ",750,0.884,0.873172974102002,0.894827025897998
"17","k=1","PermutationIQ",1000,0.892,0.88027526598361,0.90372473401639
"18","k=1","PermutationIQ",2000,0.924,0.915165928666434,0.932834071333566
"19","k=1","PermutationIQ",3500,0.93,0.921310339242431,0.938689660757569
"20","k=1","PermutationIQ",5000,0.95,0.941310339242431,0.958689660757569
"21","k=1","PermutationIQStratified",16,0.614,0.6,0.628
"22","k=1","PermutationIQStratified",50,0.63,0.614028085875001,0.645971914124999
"23","k=1","PermutationIQStratified",100,0.724,0.711363803207145,0.736636196792855
"24","k=1","PermutationIQStratified",250,0.81,0.797142857142857,0.822857142857143
"25","k=1","PermutationIQStratified",500,0.854,0.842496673063316,0.865503326936684
"26","k=1","PermutationIQStratified",750,0.88,0.870102566813892,0.889897433186108
"27","k=1","PermutationIQStratified",1000,0.894,0.882078487974271,0.905921512025729
"28","k=1","PermutationIQStratified",2000,0.922,0.913291571054784,0.930708428945216
"29","k=1","PermutationIQStratified",3500,0.934,0.924264728550057,0.943735271449943
"30","k=1","PermutationIQStratified",5000,0.95,0.942306907418379,0.957693092581621
"31","k=1","PermutationSamplingSII",16,0.614,0.6,0.628
"32","k=1","PermutationSamplingSII",50,0.614,0.6,0.628
"33","k=1","PermutationSamplingSII",100,0.614,0.6,0.628
"34","k=1","PermutationSamplingSII",250,0.614,0.6,0.628
"35","k=1","PermutationSamplingSII",500,0.658,0.643688594529865,0.672311405470135
"36","k=1","PermutationSamplingSII",750,0.694,0.682425926228269,0.705574073771731
"37","k=1","PermutationSamplingSII",1000,0.712,0.69725315668507,0.72674684331493
"38","k=1","PermutationSamplingSII",2000,0.762,0.749582106393085,0.774417893606915
"39","k=1","PermutationSamplingSII",3500,0.764,0.751299365273775,0.776700634726225
"40","k=1","PermutationSamplingSII",5000,0.802,0.789714285714286,0.814285714285714
"41","k=1","SHAPIQ",16,0.628,0.615532900440416,0.640467099559584
"42","k=1","SHAPIQ",50,0.628,0.614285714285714,0.641714285714286
"43","k=1","SHAPIQ",100,0.652,0.637088013313486,0.666911986686514
"44","k=1","SHAPIQ",250,0.708,0.692392571104288,0.723607428895712
"45","k=1","SHAPIQ",500,0.724,0.709000680287535,0.738999319712465
"46","k=1","SHAPIQ",750,0.756,0.742250046382267,0.769749953617732
"47","k=1","SHAPIQ",1000,0.784,0.769898328366568,0.798101671633432
"48","k=1","SHAPIQ",2000,0.81,0.795361498905772,0.824638501094228
"49","k=1","SHAPIQ",3500,0.86,0.846002915755525,0.873997084244475
"50","k=1","SHAPIQ",5000,0.902,0.8911240763939,0.9128759236061
"51","k=1","SVARMIQ",16,0.634,0.618192484350145,0.649807515649855
"52","k=1","SVARMIQ",50,0.678,0.663074333843875,0.692925666156124
"53","k=1","SVARMIQ",100,0.736,0.722369302352141,0.749630697647859
"54","k=1","SVARMIQ",250,0.792,0.778956900330842,0.805043099669158
"55","k=1","SVARMIQ",500,0.788,0.772709613531132,0.803290386468868
"56","k=1","SVARMIQ",750,0.83,0.814814077410379,0.845185922589621
"57","k=1","SVARMIQ",1000,0.826,0.811484701947565,0.840515298052435
"58","k=1","SVARMIQ",2000,0.888,0.875019638066742,0.900980361933258
"59","k=1","SVARMIQ",3500,0.93,0.92,0.94
"60","k=1","SVARMIQ",5000,0.942,0.932065520771021,0.951934479228979
"61","k=2","KernelSHAPIQ",16,0.078,0.065451319282287,0.090548680717713
"62","k=2","KernelSHAPIQ",50,0.086,0.0722946457654726,0.0997053542345274
"63","k=2","KernelSHAPIQ",100,0.126,0.106874208032938,0.145125791967062
"64","k=2","KernelSHAPIQ",250,0.244,0.224379103184698,0.263620896815302
"65","k=2","KernelSHAPIQ",500,0.372,0.350421477041715,0.393578522958285
"66","k=2","KernelSHAPIQ",750,0.512,0.488676192420619,0.535323807579381
"67","k=2","KernelSHAPIQ",1000,0.554,0.528732452046314,0.579267547953686
"68","k=2","KernelSHAPIQ",2000,0.594,0.568379536240237,0.619620463759763
"69","k=2","KernelSHAPIQ",3500,0.772,0.751991838399987,0.792008161600013
"70","k=2","KernelSHAPIQ",5000,0.816,0.796757190582305,0.835242809417694
"71","k=2","PermutationIQ",16,0.088,0.0724449627556386,0.103555037244361
"72","k=2","PermutationIQ",50,0.264,0.243051082537345,0.284948917462655
"73","k=2","PermutationIQ",100,0.292,0.270459340771462,0.313540659228538
"74","k=2","PermutationIQ",250,0.382,0.360111600313949,0.403888399686051
"75","k=2","PermutationIQ",500,0.462,0.440074337093772,0.483925662906228
"76","k=2","PermutationIQ",750,0.472,0.449861290711074,0.494138709288926
"77","k=2","PermutationIQ",1000,0.516,0.492725243594953,0.539274756405047
"78","k=2","PermutationIQ",2000,0.64,0.614444937400002,0.665555062599998
