"","Facetvar","Approximator","Runtime_mean","RuntimeWithCostPerBudget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=4","KernelSHAPIQ",0.495430335998535,0.495430335998535,1.92922678032073e-05,1.5424932511782e-05,2.31596030946326e-05
"2","k=4","KernelSHAPIQ",0.934819369316101,0.934819369316101,5.11463391990758e-05,4.06941620924499e-05,6.15985163057018e-05
"3","k=4","KernelSHAPIQ",2.18272887706757,2.18272887706757,4.50297863058979e-05,3.55240061336925e-05,5.45355664781032e-05
"4","k=4","KernelSHAPIQ",4.2090725851059,4.2090725851059,2.29120492374951e-05,1.88701334757376e-05,2.69539649992526e-05
"5","k=4","KernelSHAPIQ",6.03721131324768,6.03721131324768,1.97093718173496e-05,1.62181347010885e-05,2.32006089336107e-05
"6","k=4","KernelSHAPIQ",7.37313504219055,7.37313504219055,0.0875012739570573,0.0408771758605838,0.134125372053531
"7","k=4","KernelSHAPIQ",7.59021988868713,7.59021988868713,0.00019760440360202,0.000155596599114383,0.000239612208089657
"8","k=4","KernelSHAPIQ",7.95107501029968,7.95107501029968,3.9161521623136e-05,3.02178111296886e-05,4.81052321165835e-05
"9","k=4","KernelSHAPIQ",8.29780016422272,8.29780016422272,1.89997367830076e-05,1.46814975331001e-05,2.3317976032915e-05
"10","k=4","PermutationIQ",0.0350278186798096,0.0350278186798096,0.00060292545086927,0.00037823418673424,0.0008276167150043
"11","k=4","PermutationIQ",0.0770840263366699,0.0770840263366699,0.00034756125251476,0.000266733658401133,0.000428388846628387
"12","k=4","PermutationIQ",0.15248149394989,0.15248149394989,0.00018235837130972,0.000148995742650213,0.000215720999969227
"13","k=4","PermutationIQ",0.295530333518982,0.295530333518982,0.00011554403228502,9.01757484225812e-05,0.000140912316147459
"14","k=4","PermutationIQ",0.436274042129517,0.436274042129517,9.1424259171346e-05,7.42583929079334e-05,0.000108590125434759
"15","k=4","PermutationIQ",0.580863037109375,0.580863037109375,7.17083945213907e-05,5.82301398613391e-05,8.51866491814422e-05
"16","k=4","PermutationIQ",1.1549219083786,1.1549219083786,3.9900026455076e-05,3.25561386677999e-05,4.7243914242352e-05
"17","k=4","PermutationIQ",2.01484396934509,2.01484396934509,2.72655712194636e-05,2.21175683485707e-05,3.24135740903565e-05
"18","k=4","PermutationIQ",2.92222144126892,2.92222144126892,2.06178864562029e-05,1.65117991694711e-05,2.47239737429347e-05
"19","k=4","PermutationIQStratified",0.199907369613647,0.199907369613647,0.0482204527175904,0.0290458858092019,0.0673950196259788
"20","k=4","PermutationIQStratified",0.296468067169189,0.296468067169189,0.00133189252512755,0.00097613556573787,0.00168764948451723
"21","k=4","PermutationIQStratified",0.460142388343811,0.460142388343811,0.00044337277391966,0.00030222139377696,0.00058452415406236
"22","k=4","PermutationIQStratified",0.607500228881836,0.607500228881836,0.00018625122579763,0.000140117767897228,0.000232384683698032
"23","k=4","PermutationIQStratified",0.760740275382996,0.760740275382996,0.00011607499027182,9.11507666242894e-05,0.000140999213919351
"24","k=4","PermutationIQStratified",1.35626344680786,1.35626344680786,4.44283952955434e-05,3.61551298559786e-05,5.27016607351081e-05
"25","k=4","PermutationIQStratified",2.26171968460083,2.26171968460083,2.89527089125353e-05,2.35362015079135e-05,3.4369216317157e-05
"26","k=4","PermutationIQStratified",3.20526440143585,3.20526440143585,2.13893387896079e-05,1.71263118088802e-05,2.56523657703357e-05
"27","k=4","PermutationSamplingSII",9.46235656738281e-05,9.46235656738281e-05,1.39003872901424e-05,1.08989151375127e-05,1.69018594427722e-05
"28","k=4","PermutationSamplingSII",9.42134857177734e-05,9.42134857177734e-05,1.39003872901424e-05,1.08989151375127e-05,1.69018594427722e-05
"29","k=4","PermutationSamplingSII",9.30929183959961e-05,9.30929183959961e-05,1.39003872901424e-05,1.08989151375127e-05,1.69018594427722e-05
"30","k=4","PermutationSamplingSII",0.00330436706542968,0.00330436706542968,1.39502493446567e-05,1.09397453685384e-05,1.69607533207751e-05
"31","k=4","PermutationSamplingSII",0.00635318279266357,0.00635318279266357,1.38161015579225e-05,1.08082387109479e-05,1.68239644048971e-05
"32","k=4","PermutationSamplingSII",0.00635820865631103,0.00635820865631103,1.39616608217448e-05,1.09422316738851e-05,1.69810899696045e-05
"33","k=4","PermutationSamplingSII",0.0153852415084839,0.0153852415084839,1.38852751979135e-05,1.08989900493774e-05,1.68715603464495e-05
"34","k=4","PermutationSamplingSII",0.0275333881378174,0.0275333881378174,1.43502473629647e-05,1.12737435997067e-05,1.74267511262227e-05
"35","k=4","PermutationSamplingSII",0.0426612710952759,0.0426612710952759,1.43175742086898e-05,1.13112797268613e-05,1.73238686905183e-05
"36","k=4","SHAPIQ",0.0815716981887817,0.0815716981887817,0.22226160474354,0.148121353517,0.29640185597008
"37","k=4","SHAPIQ",0.0949160957336426,0.0949160957336426,0.101263740767932,0.0702729404662016,0.132254541069663
"38","k=4","SHAPIQ",0.142093691825867,0.142093691825867,0.0267464912864451,0.0189266743854393,0.0345663081874509
"39","k=4","SHAPIQ",0.204268865585327,0.204268865585327,0.00758662568346856,0.00522766422328981,0.00994558714364731
"40","k=4","SHAPIQ",0.298734517097473,0.298734517097473,0.00301640991423564,0.00202558508698323,0.00400723474148805
"41","k=4","SHAPIQ",0.314160666465759,0.314160666465759,0.200474439452601,0.124407743388194,0.276541135517008
"42","k=4","SHAPIQ",0.597874393463135,0.597874393463135,0.00994489419063787,0.0064623764270655,0.0134274119542102
"43","k=4","SHAPIQ",1.04213210105896,1.04213210105896,0.00400545755079781,0.0025340025468019,0.00547691255479372
"44","k=4","SHAPIQ",1.50210670471191,1.50210670471191,0.00224984493346477,0.00141981995663903,0.00307986991029051
"45","k=4","SVARMIQ",6.46547927379608,6.46547927379608,0.00581801753602268,0.00397920398575447,0.00765683108629089
"46","k=4","SVARMIQ",7.27500574588776,7.27500574588776,0.0159286759300259,0.0114033211633297,0.0204540306967221
"47","k=4","SVARMIQ",9.87183485507965,9.87183485507965,0.0031601272149666,0.0023069708198995,0.0040132836100337
"48","k=4","SVARMIQ",13.7836292409897,13.7836292409897,0.00551659504558059,0.0037269588307022,0.00730623126045898
"49","k=4","SVARMIQ",18.5883465099335,18.5883465099335,0.00153604392223937,0.00105255350064385,0.00201953434383489
"50","k=4","SVARMIQ",38.9372546005249,38.9372546005249,0.00841990208629673,0.00493494518911841,0.0119048589834751
"51","k=4","SVARMIQ",67.8722396278381,67.8722396278381,0.0025145928855104,0.00167309807510615,0.00335608769591465
"52","k=4","SVARMIQ",111.792018342018,111.792018342018,0.00132250222356266,0.0008587335269524,0.00178627092017292
"53","k=4","SVARMIQ",155.010589804649,155.010589804649,0.00073330337710332,0.00048311139318311,0.00098349536102353
