"","Facetvar","Approximator","Runtime_mean","RuntimeWithCostPerBudget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=4","KernelSHAPIQ",0.485862030982971,25000.485862031,0.00043253026638611,0.000376571305348089,0.000488489227424131
"2","k=4","KernelSHAPIQ",0.915335516929626,50000.9153355169,0.00140068563103281,0.00117794379860676,0.00162342746345886
"3","k=4","KernelSHAPIQ",2.13404127120972,125002.134041271,0.0012223254918931,0.00102074565242485,0.00142390533136135
"4","k=4","KernelSHAPIQ",4.10874268054962,250004.108742681,0.0005814708060819,0.000503086150254282,0.000659855461909518
"5","k=4","KernelSHAPIQ",5.901227684021,375005.901227684,0.00051017550957559,0.000448226976816075,0.000572124042335105
"6","k=4","KernelSHAPIQ",7.21361939907074,500007.213619399,1.93053779921116,1.0507769862236,2.81029861219873
"7","k=4","KernelSHAPIQ",7.42660014629364,1000007.42660015,0.0071384513490133,0.00565316443216515,0.00862373826586145
"8","k=4","KernelSHAPIQ",7.78606001853943,1750007.78606002,0.00152125144031866,0.00121067940538664,0.00183182347525068
"9","k=4","KernelSHAPIQ",8.14340443611145,2500008.14340444,0.00081767883390908,0.00064161933255535,0.00099373833526281
"10","k=4","PermutationIQ",0.035898323059082,25000.0358983231,0.00857346650974995,0.00709154132296292,0.010055391696537
"11","k=4","PermutationIQ",0.0783247137069702,50000.0783247137,0.00521154235749678,0.00452566631031897,0.00589741840467459
"12","k=4","PermutationIQ",0.153725724220276,125000.153725724,0.00403561933887891,0.00351550530638604,0.00455573337137178
"13","k=4","PermutationIQ",0.297486572265625,250000.297486572,0.00233101138268824,0.0020737460853387,0.00258827668003778
"14","k=4","PermutationIQ",0.439242911338806,375000.439242911,0.00179749086943276,0.001608956944567,0.00198602479429852
"15","k=4","PermutationIQ",0.584700508117676,500000.584700508,0.00154730246736576,0.00137340127665644,0.00172120365807508
"16","k=4","PermutationIQ",1.16156805992126,1000001.16156806,0.00087220680266661,0.000775739090645022,0.000968674514688198
"17","k=4","PermutationIQ",2.02783650398254,1750002.0278365,0.00059448189195981,0.00052543196510253,0.00066353181881709
"18","k=4","PermutationIQ",2.94795572280884,2500002.94795572,0.00043107759735295,0.000382745229346442,0.000479409965359458
"19","k=4","PermutationIQStratified",0.201652526855469,50000.2016525269,0.319401001581901,0.227274235247216,0.411527767916586
"20","k=4","PermutationIQStratified",0.299208722114563,125000.299208722,0.0434617067897976,0.0337459437835885,0.0531774697960067
"21","k=4","PermutationIQStratified",0.464374208450317,250000.464374208,0.0129121340662884,0.00957813961019946,0.0162461285223774
"22","k=4","PermutationIQStratified",0.612194118499756,375000.612194118,0.00498634558375644,0.0035932775264143,0.00637941364109858
"23","k=4","PermutationIQStratified",0.765562129020691,500000.765562129,0.0030322148845122,0.00212119260179328,0.00394323716723112
"24","k=4","PermutationIQStratified",1.36409461975098,1000001.36409462,0.00096120018207603,0.000854130691043,0.00106826967310906
"25","k=4","PermutationIQStratified",2.26706218242645,1750002.26706218,0.00062073352477783,0.000548768069354196,0.000692698980201464
"26","k=4","PermutationIQStratified",3.2181596326828,2500003.21815963,0.00044488250496028,0.000394730913462697,0.000495034096457863
"27","k=4","PermutationSamplingSII",9.52672958374023e-05,25000.0000952673,0.00038337482337552,0.000336149421445965,0.000430600225305075
"28","k=4","PermutationSamplingSII",9.4761848449707e-05,50000.0000947618,0.00038337482337552,0.000336149421445965,0.000430600225305075
"29","k=4","PermutationSamplingSII",9.37366485595703e-05,125000.000093737,0.00038337482337552,0.000336149421445965,0.000430600225305075
"30","k=4","PermutationSamplingSII",0.00334260463714599,250000.003342605,0.00039918705753446,0.000350944279710318,0.000447429835358602
"31","k=4","PermutationSamplingSII",0.00642081260681152,375000.006420813,0.00042355782680591,0.000370840964566455,0.000476274689045365
"32","k=4","PermutationSamplingSII",0.00640658378601074,500000.006406584,0.00040685266265613,0.00035709872789528,0.00045660659741698
"33","k=4","PermutationSamplingSII",0.0155064344406128,1000000.01550643,0.00045184243195057,0.000393329372408073,0.000510355491493067
"34","k=4","PermutationSamplingSII",0.0277671670913696,1750000.02776717,0.00053288444167388,0.000459338265093651,0.000606430618254109
"35","k=4","PermutationSamplingSII",0.0430032920837402,2500000.04300329,0.00064288871332426,0.000545421228709149,0.000740356197939371
"36","k=4","SHAPIQ",0.079906210899353,25000.0799062109,0.913254178921409,0.791897785464646,1.03461057237817
"37","k=4","SHAPIQ",0.0930850219726562,50000.093085022,0.452665089408855,0.395505963019058,0.509824215798651
"38","k=4","SHAPIQ",0.14033447265625,125000.140334473,0.116482923944647,0.10223562249587,0.130730225393424
"39","k=4","SHAPIQ",0.202692093849182,250000.202692094,0.0319302763135464,0.0279194409724852,0.0359411116546075
"40","k=4","SHAPIQ",0.291824450492859,375000.29182445,0.0120809519223383,0.0105753688973874,0.0135865349472891
"41","k=4","SHAPIQ",0.308462119102478,500000.308462119,0.948359913847564,0.813738908365256,1.08298091932987
"42","k=4","SHAPIQ",0.591408133506775,1000000.59140813,0.0474997375579253,0.0406941712464624,0.0543053038693882
"43","k=4","SHAPIQ",1.0294754743576,1750001.02947547,0.0182365071016259,0.0156307637036309,0.0208422504996209
"44","k=4","SHAPIQ",1.48347913742065,2500001.48347914,0.0104972452249112,0.00896444618546301,0.0120300442643594
"45","k=4","SVARMIQ",6.2729060125351,25006.2729060125,0.0236822528225729,0.0209458587967935,0.0264186468483524
