"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.00403192688198102,0.00357416045365904,0.004489693310303
"2","k=1","KernelSHAPIQ",100,0.00158349156476207,0.00139015477592923,0.00177682835359491
"3","k=1","KernelSHAPIQ",250,0.00092214169903766,0.00078734246608365,0.00105694093199167
"4","k=1","KernelSHAPIQ",500,0.0008148861612435,0.0006843499579346,0.0009454223645524
"5","k=1","KernelSHAPIQ",750,0.00071535904406652,0.00059483846099204,0.000835879627141
"6","k=1","KernelSHAPIQ",1000,0.00085068262598807,0.0007390091229611,0.00096235612901504
"7","k=1","KernelSHAPIQ",2000,4.72449811534241e-05,4.11133751788395e-05,5.33765871280086e-05
"8","k=1","KernelSHAPIQ",3500,1.91466858100358e-05,1.65845162328331e-05,2.17088553872384e-05
"9","k=1","KernelSHAPIQ",5000,1.13757178540228e-05,9.90740354076449e-06,1.2844032167281e-05
"10","k=1","PermutationIQ",50,0.003995563008614,0.00342290154317015,0.00456822447405785
"11","k=1","PermutationIQ",100,0.00160344766449612,0.00132636516603046,0.00188053016296178
"12","k=1","PermutationIQ",250,0.00059121030850254,0.000495932871665251,0.00068648774533983
"13","k=1","PermutationIQ",500,0.00038388692746079,0.000321633945912884,0.000446139909008696
"14","k=1","PermutationIQ",750,0.00021776135382636,0.000186016755569613,0.000249505952083107
"15","k=1","PermutationIQ",1000,0.00018714533100284,0.000164730806790595,0.000209559855215084
"16","k=1","PermutationIQ",2000,7.74374597847766e-05,6.56809017256751e-05,8.9194017843878e-05
"17","k=1","PermutationIQ",3500,5.79101325664837e-05,4.43465289660555e-05,7.14737361669119e-05
"18","k=1","PermutationIQ",5000,3.98216789024796e-05,3.3752669968589e-05,4.58906878363702e-05
"19","k=1","PermutationIQStratified",100,0.00205531373274191,0.00123756898198847,0.00287305848349535
"20","k=1","PermutationIQStratified",250,0.00073830308841523,0.00061958919405135,0.00085701698277911
"21","k=1","PermutationIQStratified",500,0.00036963381381192,0.000315761817616113,0.000423505810007727
"22","k=1","PermutationIQStratified",750,0.00018115209799623,0.000155716161207982,0.000206588034784478
"23","k=1","PermutationIQStratified",1000,0.0001434586033947,0.000124187819795403,0.000162729386993997
